Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2017-07-04 07:00:00,0,91,91,64,11.2,9,19.4,12,0,12
2017-07-05 07:00:00,1,95,95,61,6.6,4.8,17.8,7,1.4,7
2017-07-06 07:00:00,0,93,93,65,11.2,7.6,18.2,11.8,0,12
2017-07-07 07:00:00,0,95,95,59,9.2,7.4,19,9.6,0,12.6
2017-07-10 07:00:00,0,96,96,70,10.4,8.8,18.6,10.8,0,11
2017-07-11 07:00:00,1,91,91,63,10.6,10.2,17.2,11.4,3,12.4
2017-07-12 07:00:00,0,91,91,58,11.2,11.2,17,12,0,12.2
2017-07-13 07:00:00,0,95,95,63,10.2,9.4,17.4,10.6,0,12
2017-07-14 07:00:00,0,93,93,65,8.6,6.8,17.2,9.2,0,11
2017-07-17 07:00:00,0,95,95,58,10.2,8.4,20.8,10.6,0,10.2
2017-07-18 07:00:00,1,91,91,61,9.6,9,19.8,10.4,3.7,11.4
2017-07-21 07:00:00,0,95,95,55,8.2,6.6,19,8.6,0,10
2017-07-24 07:00:00,1,87,87,62,10.4,10,17.8,11.6,1.7,11.6
2017-07-25 07:00:00,1,94,94,58,11.6,10.2,18.2,12.2,0.6,12.4
2017-07-26 07:00:00,0,80,80,52,9.4,10.6,15.4,11.2,0,11
2017-07-27 07:00:00,0,88,88,62,8.6,8.2,17.6,9.6,0,9.8
2017-07-28 07:00:00,0,83,83,66,10.6,9.8,18,12.2,0,12.8
2017-07-31 07:00:00,0,83,83,57,9.6,10.4,16,11.2,0,11.2
2017-08-01 07:00:00,0,91,91,51,9.4,9.4,19.6,10.2,0,10.4
2017-08-02 07:00:00,0,95,95,51,6.4,4.8,21.2,6.8,0,6.8
2017-08-03 07:00:00,0,92,92,57,5.4,5,20.4,6,0,8
2017-08-04 07:00:00,1,94,94,53,11.4,7.2,22.4,12,2.9,12.6
2017-08-05 07:00:00,0,77,77,63,10.2,11,18.2,12.4,0,12.8
2017-08-08 07:00:00,1,93,93,56,11.2,6.4,20.2,11.8,8.6,11.8
2017-08-09 07:00:00,0,93,93,61,9.6,9,18.4,10.2,0,10.4
2017-08-10 07:00:00,0,97,97,56,6,5.2,20.2,6.2,0,5.8
2017-08-11 07:00:00,0,93,93,55,9.4,6.4,19.2,10,0,11
2017-08-12 07:00:00,0,75,75,64,10,8.6,19.6,12.4,0,11
2017-08-14 07:00:00,0,95,95,47,6.8,6,21.4,7.2,0,12.4
2017-08-15 07:00:00,1,93,93,61,8,7.8,20,8.6,0.6,7.8
2017-08-16 07:00:00,0,91,91,62,10.4,9,20.6,11.2,0,11
2017-08-17 07:00:00,0,95,95,57,8.6,8,22.4,9,0,9.6
2017-08-18 07:00:00,1,91,91,50,11.2,9.8,21.8,12,32.9,11.8
2017-08-22 07:00:00,0,85,85,52,10.4,7,17.2,11.8,0,12
2017-08-23 07:00:00,1,92,92,52,6.8,5.6,19.4,7.4,3.5,8
2017-08-24 07:00:00,1,93,93,66,8.4,5.2,20,9,2.6,8.2
2017-08-25 07:00:00,1,89,89,67,9,9.2,17.2,10,1.2,12
2017-08-28 07:00:00,1,93,93,58,10.4,6.2,19,11,1.3,13.2
2017-08-29 07:00:00,0,95,95,65,9.2,5.4,17.2,9.6,0,10.8
2017-08-30 07:00:00,1,87,87,61,10.4,9.8,18.4,11.6,3.2,10.8
2017-08-31 07:00:00,0,93,93,48,9.4,8.8,19,10,0,12
2017-09-01 07:00:00,1,95,95,47,7.4,5.2,20.8,7.8,8.4,12
2017-09-04 07:00:00,0,95,95,51,6.2,5.2,20.2,6.6,0,7.4
2017-09-05 07:00:00,0,97,97,46,7.4,6,20,7.6,0,8.2
2017-09-06 07:00:00,0,98,98,54,8.6,6.2,21,8.8,0,10.2
2017-09-07 07:00:00,0,95,95,51,9.8,5.8,20.6,10.2,0,11.8
2017-09-08 07:00:00,1,91,91,67,10.6,6.2,19.4,11.4,4.2,11.2
2017-09-11 07:00:00,0,95,95,55,10.2,8.8,21.8,10.6,0,13
2017-09-12 07:00:00,0,95,95,48,7.6,6,21,8,0,11
2017-09-13 07:00:00,0,87,87,56,11.2,9.2,19.6,12.4,0,13
2017-09-14 07:00:00,1,89,89,52,9.2,9.8,21.2,10.2,0.6,12.6
2017-09-15 07:00:00,1,96,96,59,11.4,10,19.4,11.8,4.8,12.2
2017-09-18 07:00:00,1,98,98,59,10.4,8.2,19.6,10.6,1.8,10
2017-09-19 07:00:00,1,98,98,59,8.2,7.8,21.4,8.4,7.3,10.2
2017-09-20 07:00:00,1,84,84,51,11.6,9.2,20.8,13.2,9.5,13
2017-09-21 07:00:00,0,95,95,47,10.2,9.6,21,10.6,0,11.8
2017-09-22 07:00:00,0,95,95,55,9.8,7.4,20,10.2,0,9.4
2017-09-25 07:00:00,0,93,93,51,8.2,8,18,8.8,0,8.8
2017-09-26 07:00:00,1,93,93,59,7.4,4.8,19.4,8,0.6,7.8
2017-09-27 07:00:00,0,95,95,55,7.4,5.6,22,7.8,0,7.8
2017-09-28 07:00:00,1,93,93,64,11,9,21.8,11.6,5.6,12
2017-09-29 07:00:00,1,95,95,59,9,8.2,19.6,9.4,0.6,9
2017-10-02 07:00:00,1,91,91,47,9.8,8.4,24,10.6,8,10.8
2017-10-03 07:00:00,0,98,98,51,10.4,9.2,22.2,10.6,0,10.6
2017-10-04 07:00:00,0,93,93,57,10.2,9,22.8,10.8,0,11.2
2017-10-05 07:00:00,0,81,81,51,10.4,11.4,18.8,12.2,0,12.6
2017-10-06 07:00:00,0,95,95,48,7.6,6.4,19.6,8,0,8.6
2017-10-09 07:00:00,1,95,95,70,7,4.6,20.4,7.4,14.6,7.2
2017-10-10 07:00:00,0,98,98,45,9.6,5.8,21.8,9.8,0,9.2
2017-10-11 07:00:00,1,87,87,51,11,9.6,21,12.2,3.6,12.4
2017-10-12 07:00:00,0,95,95,55,7.8,5.4,21.6,8.2,0,10.2
2017-10-13 07:00:00,0,93,93,60,10.8,8.6,18.2,11.4,0,11.2
2017-10-17 07:00:00,1,93,93,62,10.8,6.6,18,11.4,0.6,11.8
2017-10-18 07:00:00,0,93,93,56,10.6,6.8,19.4,11.2,0,10.8
2017-10-19 07:00:00,0,98,98,48,7.6,6,20.2,7.8,0,7.8
2017-10-20 07:00:00,0,95,95,55,9.4,8,22,9.8,0,11
2017-10-23 07:00:00,0,91,91,60,8.4,6.2,18,9.2,0,8.8
2017-10-24 07:00:00,0,91,91,62,9.4,7.8,18,10.2,0,10
2017-10-25 07:00:00,0,91,91,56,9.8,9,19.2,10.6,0,10.2
2017-10-27 07:00:00,1,95,98,71,10,6.8,24,10.4,4.2,12
2017-10-28 07:00:00,1,96,96,62,10.6,9.8,20.2,11,4.2,11.8
